,artist,text
4630,Action Bronson,Left hand is switching speeds
4631,Action Bronson,Straight from Flushing man we known for using chopsticks
4632,Action Bronson,Problems getting dealt with never pop shit
4633,Action Bronson,Hit you with the dropkick Marty Jannetty
4634,Action Bronson,Know I hit you with the dropkick Marty Jannetty
4635,Action Bronson,Know I hit you with the dropkick Marty Jannetty
4636,Action Bronson,Know I hit you with that dropkick Marty Jannetty
4637,Action Bronson,What up love I need a hug cause drugs be takin over
4638,Action Bronson,Shorty couldnt take it no more she went loca
4639,Action Bronson,No stranger to a rum and soda
4640,Action Bronson,I met the ho while she was slumped over
4641,Action Bronson,Shit Ive been good though I cant complain
4642,Action Bronson,I could probably cop a half a plane
4643,Action Bronson,Drinking juice just like Jack LaLanne now
4644,Action Bronson,Imma strike it rich any day now
4645,Action Bronson,Uh you know I gotta get a plate now
4646,Action Bronson,I rep the eastern seaboard jeez Lord
4647,Action Bronson,Please leave the Z keys before you leave
4648,Action Bronson,Dont sneeze on my shit cause for shiz Imma flip ya
4649,Action Bronson,Pedicured foot slide in the slipper
4650,Action Bronson,Tryna do the remix with Pitbull
4651,Action Bronson,Tell the pilot land at Schiphol
4652,Action Bronson,Play the violin with dimples
4653,Action Bronson,Lifes ironic and its simple
4654,Action Bronson,Drive nice car wear all green mink
4655,Action Bronson,First time I whacked off was a Penthouse
4656,Action Bronson,Roses in the bath at the penthouse
4657,Action Bronson,Should I get a skybox or an   IROC 
4658,Action Bronson,Its always poppin at the IHOP
4659,Action Bronson,Choke a pussy with his tie knot its my block
4660,Action Bronson,Chuck Knoblauch spicy coconut curry from the Thai spot
4661,Action Bronson,Im in a hurry dumb jewelry
4662,Action Bronson,The verdict read from a hung jury
4663,Action Bronson,The doctor said that I was hung early
4664,Action Bronson,Skull curly Larry and Moe Ill marry a ho
4665,Action Bronson,Only if the bitch look like Mari Monroe
4666,Action Bronson,Twisted off the Jenkem watching Iron Chef
4667,Action Bronson,The secret ingredient was lions neck
4668,Action Bronson,I ride solo like a fighter jet
4669,Action Bronson,Theres no hit records on a demo
4670,Action Bronson,Theres no hit records on a demo
4671,Action Bronson,Theres no hit records on a demo
4672,Action Bronson,Theres no hit records on a demo
4673,Action Bronson,Catch me hoppin out the limo
4674,Action Bronson,Catch me hoppin out the limo
4675,Action Bronson,Drive nice car wear all green mink
4676,Action Bronson,Drive nice car wear all green mink
4677,Action Bronson,Drive nice car wear all green mink
4678,Action Bronson,Been on the honor roll sculptures of my body out in Nagano
4679,Action Bronson,My shawty features like Madonna 
4680,Action Bronson,Straight up lambs on the arm Giambi lenses
4681,Action Bronson,Been on the honor roll sculptures of my body out in Nagano
4682,Action Bronson,My shawty features like Madonna Lo designer
4683,Action Bronson,Bending these young Lola Fellanas over Ace the test
4684,Action Bronson,Baste the breast with the juices
4685,Action Bronson,Under the influence of fly shit I glide like Ovechkin
4686,Action Bronson,Disqus hoody puff hibiscus balance be the crispest
4687,Action Bronson,Baby girl youre wylin if you sniff this
4688,Action Bronson,You gotta take a piss test piss right through your fishnets
4689,Action Bronson,Robert Moses State Park lamb in the sand
4690,Action Bronson,Blam blam a piggie try to put my fam in the can
4691,Action Bronson,Strictly cop and gos until we laid in the Galapagos
4692,Action Bronson,Eating tacos higher than a opera note
4693,Action Bronson,We never ride Civics the Mont Blanc scripted lyrics
4694,Action Bronson,Its like avant garde to the critics
4695,Action Bronson,I throw you in that armbar with the quickness
4696,Action Bronson,Either you with me or bitch you on the shit list
4697,Action Bronson,Bitch please picture me in Sicily
4698,Action Bronson,The hard bottoms gators is slippery
4699,Action Bronson,And now Im shittin on your whole steez ridiculously
4700,Action Bronson,   fire at ya attire to break your armor up like fine china
4701,Action Bronson,Fly designer hoes diggin for gold like a   er
4702,Action Bronson,I hit the diner the Carolina
4703,Action Bronson,Pass the lighter to the passenger in the spyder
4704,Action Bronson,Vagina splash like apple cider
4705,Action Bronson,So fuck your little  cents blue benz bitches jump like Harold Miner
4706,Action Bronson,Im in the recliner we traced like eye liner
4707,Action Bronson,And I escape like MacGyver
4708,Action Bronson,Bank robbers bang   s to taste cobbler
4709,Action Bronson,And lay up with a case of vodka
4710,Action Bronson,Ate steak and lobster to Frank Sinatra
4711,Action Bronson,Air you out leave your face for pasta
4712,Action Bronson,Get laced and dip the jakes in the grey Boxster
4713,Action Bronson,Ladies identify gangsters posture
4714,Action Bronson,Fuck yall eat a fat dick with the monster
4715,Action Bronson,Smoking that Barbara Walters wax
4716,Action Bronson,Same fucking outfit twenty days in a row I don t give a shit
4717,Action Bronson,You only came around  cause you thought I had some money for you
4718,Action Bronson,And If there s anything left I ll cop a crib
4719,Action Bronson,And If there s anything left after that I ll cop a six
4720,Action Bronson,How you think I got the art displayed on the dinner plates 
4721,Action Bronson,First course was from the Finger Lakes
4722,Action Bronson,Last course cinnamon ginger cake
4723,Action Bronson,She gave me head during the Laker game
4724,Action Bronson,I got her tatted trying to erase her name
4725,Action Bronson,No I caught her cheating her pussy didn t feel the same
4726,Action Bronson,She was probably with one of the Broncos
4727,Action Bronson,Or LeBron so I blew her car up
4728,Action Bronson,Soon as she try to start it up nah
4729,Action Bronson,I can t talk about that though 
4730,Action Bronson,Your chance is thin like the moustache of Puerto Ricans
4731,Action Bronson,Shooting guns with my daughter on the weekend
4732,Action Bronson,Smoke the budder same color as The Weeknd
4733,Action Bronson,Stashed under the sole of the sneaker  laughs
4734,Action Bronson,Stashed under the sole of the sneaker
4735,Action Bronson,Smoke the budder same color as The Weeknd
4736,Action Bronson,Told the driver Lenny swing me by the garden I gotta talk to Pat
4737,Action Bronson,Showed him the gat like  you gonna miss the finger roll right 
4738,Action Bronson,I Told the driver Lenny swing me by the garden I gotta talk to Pat
4739,Action Bronson,Then showed him the gat like  youre gonna miss the finger roll right  
4740,Action Bronson,Then I cartwheeled into a aqua car
4741,Action Bronson,We just talking crazy at this point
4742,Action Bronson,I told the driver Lenny swing me by the garden I gotta talk to Pat
4743,Action Bronson,Then showed him the gat like  youre gonna miss the finger roll right  
4744,Action Bronson,Then I cartwheeled into and aqua car
4745,Action Bronson,Ma your boy has made it no more
4746,Action Bronson,The facial reminiscent of a lion
4747,Action Bronson,Fuck around I ll send you back to zion
4748,Action Bronson,Swing the wood wheel like lumberjacks
4749,Action Bronson,I remember back when they wouldn t spend a stack on my rap
4750,Action Bronson,Now they want to wipe my ass in the crack after I shat
4751,Action Bronson,And I just had corn beef hash
4752,Action Bronson,I m back for the fucking sequel man
4753,Action Bronson,You know I had come and to spice this shit the fuck up
4754,Action Bronson,I m over here fucking wiling
4755,Action Bronson,A lot of shit done motherfucking changed now
4756,Action Bronson,Motherfuckers done came up
4757,Action Bronson,Whole lot of different motherfucking moves are being made
4758,Action Bronson,You know what time it motherfucking is
4759,Action Bronson,So my lifestyle done changed a little bit
4760,Action Bronson,The motherfucking crib is renovated man
4761,Action Bronson,I got the new fucking marble floor man
4762,Action Bronson,We just flew that shit in from Connecticut
4763,Action Bronson,Motherfuckers is out here spinning stupid shit
4764,Action Bronson,I m out here wiling like I never changed man
4765,Action Bronson,This the same motherfucker you know me man
4766,Action Bronson,    doing stick ups with the screw driver
4767,Action Bronson,The last car on the fucking A train man
4768,Action Bronson,Sometimes a little low but I get them back up man
4769,Action Bronson,Fill them up like the fucking gas tank
4770,Action Bronson,Shout outs to my fucking brother man Action Bronson man
4771,Action Bronson,We motherfucking out here man
4772,Action Bronson,But a motherfucking few more things that s what to say
4773,Action Bronson,I m out here smoking good man
4774,Action Bronson,Fucking pocket fucking stupid fucking blunt pack with that up town piff
4775,Action Bronson,Shouts to all my motherfucking Dominicans out there in the Heights
4776,Action Bronson,Nah I don t even want a motherfucking ounce B
4777,Action Bronson,Give me motherfucking   dimes
4778,Action Bronson,Yeah tato Papi that s how we doing it big fucking style man
4779,Action Bronson,And I want that Chimi sauce dripping all over my fucking arm
4780,Action Bronson,Wipe it with the fucking hundred dollar bill
4781,Action Bronson,Shouts to motherfucking Albania
4782,Action Bronson,Shouts to motherfucking Flushing
4783,Action Bronson,Shouts to the motherfucking Bronx man
4784,Action Bronson,All fucking day I m out here wiling man
4785,Action Bronson,Weve been the best since I stepped in
4786,Action Bronson,Bring a hooker to the muthafuckin Jets Inn
4787,Action Bronson,In the sack break her back like a Redskin
4788,Action Bronson,Need the dough like Im trying to get the bread thin
4789,Action Bronson,Tree to make the head spin
4790,Action Bronson,Every season play the corner like Im Revis
4791,Action Bronson,Light Caesar heavy bearded like Im Jesus
4792,Action Bronson,New York City Queens borough be the backdrop
4793,Action Bronson,I bring it back to all the benches need a blacktop
4794,Action Bronson,Big things see me moving like a Sasquatch
4795,Action Bronson,Money Im in pursuit cuchillo inside the boot
4796,Action Bronson,Bitches are on display give brain inside the coupe
4797,Action Bronson,Shift gears thats with the left
4798,Action Bronson,Which means Im on the right get paid
4799,Action Bronson,By any means you hold it say goodnight kid
4800,Action Bronson,Two fingers hold the potion when Im smoking
4801,Action Bronson,Slow motion snatch a snapper out the ocean
4802,Action Bronson,In my lungs go the drugs like the red chief
4803,Action Bronson,Red leaf lettuce blood money on the bench seat
4804,Action Bronson,  courses laid up on the long table
4805,Action Bronson,Aged wine got me spinning like a dreidel
4806,Action Bronson,For fly women use a condom cause its fatal
4807,Action Bronson,Hazel eyed bitched always blazing up the basil
4808,Action Bronson,The red razor cut the features in your facial
4809,Action Bronson,Creep in Corona bumping Fernando Villalona
4810,Action Bronson,Puffing cheeba in the street by the chimi corner
4811,Action Bronson,Tu ne tappa me muthafuckas are sloppy
4812,Action Bronson,Captain of the rap you talking to papi
4813,Action Bronson,Up in Niagara Falls make your wifey suck a
4814,Action Bronson,Bag of balls its sick just like a Magic cough
4815,Action Bronson,Same person on camera or when the muthafuckin camera off
4816,Action Bronson,Hash straight from the desert can knock
4817,Action Bronson,A camel off Sheep straight out of school
4818,Action Bronson,Let the hammers off Off the boat shit
4819,Action Bronson,Whole cliques roll thick no shit
4820,Action Bronson,Piss drunk and they smoke sticks
4821,Action Bronson,FILA jumpsuit sandals the whole shit
4822,Action Bronson,Young kids walking around got the Desi in hand
4823,Action Bronson,Going  Boom Shakalaka  like its NBA Jam
4824,Action Bronson,Tap out the reefer show him how
4825,Action Bronson,Roasted peppers sweet tomatoes heirloom
4826,Action Bronson,We on the beach fresh Ceviche
4827,Action Bronson,We in Cancun fly girly curly
4828,Action Bronson,Hair is getting read through
4829,Action Bronson,We in the shower give me head shampoo
4830,Action Bronson,Swimming trunk shoe accentuate the ankle
4831,Action Bronson,Eyes blue put the childrens money in the Banco
4832,Action Bronson,Giuseppe Franco take the cash and tango
4833,Action Bronson,Im straight stoned  sly thank you
4834,Action Bronson,Yeah fucking throw up on the floor shit
4835,Action Bronson,In only one year considered as a veteran
4836,Action Bronson,Top of the line the whip look like tropical lime
4837,Action Bronson,Off the boat cousin Glock by the spine
